VALUE,COUNT,BPS_NAME,BPS_MODEL,GROUPVEG,EVT_NAME,EVT_PHYS,LABEL
729,52,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,C
730,17,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C
731,9,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Recently Disturbed Other-Herb and Grass Cover,Grassland,A
732,7,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Eastern Cool Temperate Row Crop,Agricultural,Agriculture
733,29,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood,C
734,644,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Recently Logged-Shrub Cover,Shrubland,A
735,61,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,B
736,14,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Recently Logged-Tree Cover,Conifer,C
737,2,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,14940_41_50_51,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,D
738,908,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban
739,3,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Oak Barrens,Hardwood,D
740,9,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian Oak Barrens,Hardwood,D
741,6,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian Oak Barrens,Hardwood,C
742,7,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Grassland,Developed,UE
743,957,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,C
744,177,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Recently Logged-Shrub Cover,Shrubland,UN
745,3100,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,C
746,1355,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Developed-Roads,Developed-Roads,Urban
747,19,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood,D
748,1128,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Northern & Central Ruderal Meadow,Exotic Herbaceous,UE
749,77,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Urban Herbaceous,Developed,Urban
750,832,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Recently Logged-Herb and Grass Cover,Grassland,B
751,249,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Recently Logged-Herb and Grass Cover,Grassland,A
752,6,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Pine Barrens,Conifer,B
753,1729,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C
754,2699,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C
755,9865,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,C
756,156,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,C
757,15,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Close Grown Crop,Agricultural,Agriculture
758,19,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian Pine-Oak Barrens,Conifer-Hardwood,C
759,2120,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,C
760,1,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northern Great Lakes Coastal Marsh,Riparian,UN
761,250,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Urban Herbaceous,Developed,Urban
762,8,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian Oak Barrens,Hardwood,C
763,656,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,C
764,25,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Northern Oak Forest,Hardwood,C
765,2200,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,C
766,5,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian Pine Barrens,Conifer,UN
767,4244,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Northeastern North American Temperate Forest Plantation,Conifer,UE
768,64,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Urban Shrubland,Developed,Urban
769,111,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban
770,108,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Hardwood Forest,Hardwood,C
771,81,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,C
772,289,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Recently Logged-Shrub Cover,Shrubland,C
773,16,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Oak Barrens,Hardwood,B
774,687,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban
775,147,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Developed-Low Intensity,Developed-Low Intensity,Urban
776,5,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Hardwood Forest,Hardwood,C
777,30,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Developed-Medium Intensity,Developed-Medium Intensity,Urban
778,286,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,C
779,92,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Bog,Riparian,UN
780,11,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Developed-High Intensity,Developed-High Intensity,Urban
781,100,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban
782,52,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Recently Logged-Tree Cover,Conifer,C
783,18,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,A
784,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,UN
785,139,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban
786,1,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Wheat,Agricultural,Agriculture
787,35,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Close Grown Crop,Agricultural,Agriculture
788,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer,B
789,163,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,UE
790,472,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian Pine Barrens,Conifer,C
791,203,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
792,7170,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Recently Logged-Tree Cover,Conifer,D
793,661,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,C
794,314,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,B
795,11,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Boreal-Laurentian Bog,Riparian,C
796,111,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer,B
797,6,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,UE
798,221,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,B
799,16,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian Pine Barrens,Conifer,C
800,14,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
801,5,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban
802,43,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,A
803,3,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Recently Logged-Herb and Grass Cover,Grassland,UN
804,66,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,B
805,59,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian,E
806,73,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian,UN
807,16,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Recently Disturbed Other-Herb and Grass Cover,Grassland,B
808,179,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Shrub Swamp,Riparian,UN
809,6,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,UN
810,91,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Pine Barrens,Conifer,B
811,718,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Recently Logged-Tree Cover,Conifer,C
812,342,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Shrub Swamp,Riparian,A
813,220,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Wet Meadow,Riparian,UN
814,75,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,C
815,1,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Eastern Cool Temperate Urban Herbaceous,Developed,Urban
816,37,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Logged-Tree Cover,Conifer,B
817,45,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Recently Logged-Tree Cover,Conifer,B
818,30,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agriculture
819,1,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Recently Logged-Tree Cover,Conifer,UN
820,1,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Recently Logged-Shrub Cover,Shrubland,UN
821,2,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Recently Logged-Herb and Grass Cover,Grassland,UN
822,1,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,North-Central Interior Maple-Basswood Forest,Hardwood,D
823,13,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,E
824,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,B
825,282,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Close Grown Crop,Agricultural,Agriculture
826,98,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,UN
827,24,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,UN
828,18,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood,UN
829,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,UN
830,8,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood,B
831,76,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,B
832,1,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Disturbed Other-Tree Cover,Conifer,UN
833,2,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
834,39,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,B
835,92,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,UE
836,31,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,C
837,7,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UN
838,1178,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,UE
839,210,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,UE
840,19,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,UE
841,3,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,UE
842,1,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Disturbed Other-Tree Cover,Conifer,E
843,37,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Row Crop,Agricultural,Agriculture
844,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood,UN
845,52,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agriculture
846,1433,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Developed-Low Intensity,Developed-Low Intensity,Urban
847,386,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban
848,3,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Developed-Roads,Developed-Roads,Urban
849,912,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban
850,880,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Hardwood Forest,Hardwood,D
851,3,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,A
852,108,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C
853,8,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood,E
854,377,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,C
855,481,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Eastern Cool Temperate Urban Herbaceous,Developed,Urban
856,56,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,UN
857,7,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,UN
858,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,UN
859,1,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,14940_41_50_51,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer,D
860,48,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C
861,24,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Wheat,Agricultural,Agriculture
862,3,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Recently Disturbed Other-Herb and Grass Cover,Grassland,A
863,65,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Floodplain Forest,Riparian,D
864,3,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,A
865,3,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,14940_41_50_51,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,D
866,2,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,UE
867,45,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Logged-Tree Cover,Conifer,B
868,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Great Lakes Wooded Dune and Swale,Riparian,UN
869,5,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Great Lakes Wooded Dune and Swale,Riparian,C
870,24,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Row Crop,Agricultural,Agriculture
871,2,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Disturbed Other-Tree Cover,Conifer,E
872,8,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Recently Disturbed Other-Tree Cover,Conifer,C
873,17,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Alkaline Fen,Riparian,UN
874,14,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,C
875,11,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,B
876,40,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Acidic Rocky Outcrop Woodland,Conifer,B
877,1,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,B
878,1,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Great Lakes Wooded Dune and Swale,Riparian,C
879,8,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Pine Barrens,Conifer,B
880,34,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,B
881,16,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Recently Logged-Shrub Cover,Shrubland,A
882,203,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,C
883,122,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,C
884,43,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Recently Logged-Tree Cover,Conifer,C
885,8,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Row Crop,Agricultural,Agriculture
886,1,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian,B
887,1,Boreal Jack Pine-Black Spruce Forest - Pine Barrens,13441_51,Conifer,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,UE
888,44,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Freshwater Marsh,Riparian,A
889,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,B
890,2,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban
891,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban
892,365,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Wet Meadow,Riparian,A
893,2,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban
894,1,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Wheat,Agricultural,Agriculture
895,4,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,B
896,4,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,A
897,1837,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Grassland,Developed,UE
898,5,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,C
899,290,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,UE
900,23,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,B
901,1,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,UN
902,107,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,UE
903,72,Barren-Rock/Sand/Clay,na,Barren-Rock/Sand/Clay,Great Lakes Dune,Sparsely Vegetated,Barren or Sparse
904,277,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agriculture
905,236,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northern & Central Native Ruderal Forest,Conifer-Hardwood,UE
906,58,Boreal White Spruce-Fir-Hardwood Forest - Coastal,13652_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,C
907,2,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,B
908,141,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Developed Ruderal Grassland,Developed,UE
909,7,Laurentian Pine-Oak Barrens - Jack Pine,14072_41_50_51,Conifer,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agriculture
910,1,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Great Lakes Dune Grassland,Grassland,UN
911,1,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Orchard,Agricultural,Agriculture
912,232,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Acidic Rocky Outcrop Woodland,Conifer,E
913,6,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Acidic Rocky Outcrop Woodland,Conifer,B
914,10,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,B
915,3,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Acidic Rocky Outcrop Shrubland,Shrubland,UN
916,1,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Great Lakes Dune Grassland,Grassland,A
