VALUE,COUNT,BPS_NAME,BPS_MODEL,GROUPVEG,EVT_NAME,EVT_PHYS,LABEL
463,40,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Freshwater Marsh,Riparian,UN
464,51,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agriculture
465,80,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Pine Barrens,Conifer,B
466,56,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Northern Oak Forest,Hardwood,D
467,11,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Row Crop,Agricultural,Agriculture
468,355,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,UN
469,598,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UN
470,87,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,C
471,19,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Oak Barrens,Hardwood,E
472,2,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,D
473,49,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,B
474,84,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian Pine Barrens,Conifer,C
475,321,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Developed-High Intensity,Developed-High Intensity,Urban
476,405,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Urban Herbaceous,Developed,Urban
477,13,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Wheat,Agricultural,Agriculture
478,422,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Barren or Sparse
479,21,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Hardwood Forest,Hardwood,C
480,47,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,B
481,1115,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,A
482,46,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Boreal-Laurentian Bog,Riparian,A
483,12,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian,UN
484,5,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Northern Great Lakes Coastal Marsh,Riparian,UN
485,6,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Orchard,Agricultural,Agriculture
486,1,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Developed-Low Intensity,Developed-Low Intensity,Urban
487,31,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,C
488,15,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Acidic Rocky Outcrop Woodland,Conifer,UN
489,208,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,B
490,278,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,C
491,229,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,B
492,781,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Recently Logged-Shrub Cover,Shrubland,A
493,2,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Acidic Rocky Outcrop Woodland,Conifer,C
494,15,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer,C
495,13,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood,E
496,295,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Wet Meadow,Riparian,UN
497,132,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Boreal-Laurentian Bog,Riparian,A
498,59,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,B
499,560,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Developed-Roads,Developed-Roads,Urban
500,271,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,B
501,2374,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Northeastern North American Temperate Forest Plantation,Conifer,UE
502,33,Barren-Rock/Sand/Clay,na,Barren-Rock/Sand/Clay,Great Lakes Acidic Rocky Shore and Cliff,Sparsely Vegetated,Barren or Sparse
503,143,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Wet Meadow,Riparian,A
504,6,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood,UN
505,7,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Recently Disturbed Other-Herb and Grass Cover,Grassland,A
506,439,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Recently Logged-Herb and Grass Cover,Grassland,UN
507,601,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,B
508,36,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,B
509,629,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,B
510,38,Laurentian-Acadian Northern Pine(-Oak) Forest,13620_51_63_64_65_66,Hardwood-Conifer,Northeastern North American Temperate Forest Plantation,Conifer,UE
511,3284,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Logged-Tree Cover,Conifer,UN
512,20,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Wet Meadow,Riparian,E
513,808,Great Lakes Coastal Marsh Systems,14920_41_50_51_52_63,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer,UN
514,524,Great Lakes Coastal Marsh Systems,14920_41_50_51_52_63,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,UN
515,415,Great Lakes Coastal Marsh Systems,14920_41_50_51_52_63,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,UN
516,150,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian Pine Barrens,Conifer,D
517,9,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
518,3428,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,E
519,71,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,E
520,4153,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C
521,26,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Floodplain Forest,Riparian,C
522,338,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,D
523,431,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,E
524,66,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,UN
525,37,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,UN
526,34,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed,UE
527,251,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban
528,66,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban
529,42,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,UN
530,99,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,C
531,94,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,E
532,32,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,E
533,368,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Developed-Roads,Developed-Roads,Urban
534,44,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood,B
535,7,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,C
536,114,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,E
537,31,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,UN
538,5,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B
539,255,Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood,13023_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,UN
